text,label
"Penginapannya rapi, bersih, suasana tenang, pelayannya ramah dan banyak membantu. Lokasi cukup dekat ke beberapa obyek wisata. kalau saya ke bandung lagi mungkin saya akan menginap lagi di sini.",1
"wifi tidak sampai kamar, tidak tersedia heater untuk kopi/teh atau dispenser dan tidak tersedia kursi di depan kamar untuk merokok hingga harus duduk di lantai",0
"Lantai kamar mandi kotor, bau, dan seperti sdh jdi sarang nyamuk dikamar mandinya...pesan superior double yg dikasih twin...mungkin karena murah saya maklumin, tpi kedepan mohon untuk bisa jdi perbaikan untuk bisa lbh baik lg..",0
"Wc jorok.. Kasur tidak dibersihkan,, handuk tidak diganti, ",0
bocor lagi,0
"kebersihan, pelayanan, kerapihan",0
saya hampir tidak bisa tidur krn bantal sangat bau apek,0
"Pelayanannya sangat baik,kmr yang bersih,menu makanannya juga enak to sayang wifinya kutang bagus..",1
"Kamar banyak kecoa, tlg lebih diperhatikan kebersihannya",0
kamar mandi banjir,0
"Lebih menjaga kebersihan, khususnya tempat tidur. Untuk kenyamanan tamu. ""Bebial-bial kami betiga beranak, tilamnya hibak pempijit. Banyak sarang pempijit dikepala ranjangnya. Untungnya boleh minta pindah kamar."" ",0
Pelayanan kurang ramah dan ribet masalah administrasi..tidak rekomen nginap dsini,0
Hotel bersih bgt...nyaman...kolam renang bersih...pelayanan hotel baik...deket sm indomaret...depan hotel ada makanan manado...murah dan enak...remomended banget pokoknya....,1
"Roomnya bersih banget, lokasi strategis pusat kota, nyaman, namun pesan yang 1 double bed dapatnya twin bad, gempa lombok bikin takut menginap di hotel bertingkat.. ",1
"tidak ada sinyal internet didalam area penginapan, wifi kurang memadai",0
Ribut dan kurang nyaman,0
ac nya kurang dingin gk seru banget ,0
pelayanan kurang bagus tilam standar double room harusnya besar sebelum check out air dimatikan ,0
buruk.  tidak sesuai kamar yg di pesan.  kamar kecil ac berisik sarapan biasa aja. ,0
"toilet tidak bersih, tidak ada bathmed, kitchen wastafel kurang bersih.",0
"wifi payah sekali, petugas kurang responsif ketika wastafel buntu direspon baru hari berikutnya,, tolong diperhatikan ",0
saya nginap dan di situ Aqua nya kosong ,0
kasure njeblosssss ,0
"kamar terkesan kurang bersih, kamar mandi pun kotor, overall kecewa.",0
"Gampang cari makanan, tetapi kamarnya terlalu lembab. sepertinya lantai dibawah ranjang tidak pernah di bersihkan.",0
WiFi eror.  Kasur kependekan ,0
"- Interior kamar Bagus.
- Fasilitas kamar lengkap ada kulkas,termos pemanas, brankas termasuk murah dengan harga 300Rb.
- Kamar mandi Kotor
- masuk kamar di sambut kecoa kecil
- Loby bagus",0
"ga ada colokan buat charge, ada yg bawa anjing, air ga jalan sama sekali. very bad!",0
"Kamar agak lembab, lokasi oke.",1
"Kamarnya sempit, pesan yg twin dikasih yg single tanpa konfirmasi. sempit banget jadinya utk berdua dgn istri.
di dalam kamar ada nyamuknya.
perlengkapan mandi cuma 1 pouch.
kontrol AC terpusat via resepsionis, dingin banget, tak leluasa kontrol suhunya.
saya baru tahu, ada juga standar Airy yg breakfast nya cuma Roti Selai dan Minum doang.",0
"awal datang dapat kamar lantai 2 dengan kondisi kamar yang di bawah standart .. plus signal hp drop dan tidak ada wifi .. kondisi kamar jadul dan kumuh .. lalu saya complain dengan receptionist .. dan d pindahkan kamar ke lantai 1 ,, receptionist cepat menanggapi complain kami .. di lantai 1 kamar yang kami tempati lumayan besar .. tapi tetap jadul",0
"Pintu kamar mandi macet, tidak ada selimut.",0
Amit amit. gk ada tempat charger. mau charger naik ke lemari atw cabut tv/pan. intinya. KECEWA udah komplain malah gak ada respon dn cuma bilang EMANG GITU,0
apa memang gak ada selimutnya??? Untung aja gw tidurnya mmng gak suka make selimut... Breakfastnya lumayan... Pelayanannya baik... ,0
wifi dan handuk,0
"beberapa kali menginap (returning guests) baru kali ini dikecewakan scr berturut, 1). pintu kmr dipaksa buka dgn alasan tdk tahu kl kmr bersangkutan sdh terisi (occupied) yg jelas-2 di front office kunci kmr yg km sewa tdk ada 2). swkt akan check out mesti lbh dulu.menunggu customer service periksa kmr dgn alasan srg bercak darah d selimut, dll...",0
Wifinya ga berfungsi ,0
Disini kami sekeluarga sangat diperhatikan dari kami datang sanpai cek out.,1
lingkungan yang padat penduduk dan kotor. kamar dan kamar mandi juga terkesan tidak terawat. ,0
"- papan nama kurang terlihat, kurang besar .. - lokasi pinggir jln, banyak penjual makan .. - pelayanan, kebersihan, wifi ok, sesuai std airy - hanya AC kurang dingin",1
"System booking online harus diperbaiki, booking seminggu sebelumnya akan tetapi kamar kost baru diberitahu pas hari chek in.. Sempat diover ke kamar airy daerah lain pas hari pertama karena ga ada kamar... Untuk kamar generally clean, nyaman,kalau bisa lebih ditingkatkan lagi pelayanannya.. ",0
"kelengkapan mandinya kurang, di hotel juga tidak menyediakan seperti sabun dan sampo. begitu masuk kamar, baunya agak gak sedap. selebihnya udah oke kok..",0
"fasilitas oke.. pelayanan engga bgt ! ga ada resepsionisnya. keamanan kurang bgt.. waktu mau check in, pintu dibiarkan terbuka tanpa penjagaan.. di panggil2 gada yg nyautin. d telfon, malah suruh nyampering ke lantai 2. kaya bukan penginapan. ga profesional bgt",0
"Lokasi sangat strategis, tidak ada air mineral dan handuk",0
"free snack + sabun / shampoo airy gak ada...
AC nya juga bocor air nya keluar di dlm ruangan... semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen... ",0
"kost an bkn hotel, gak sesuai ekspektasi",0
"Pegawai ramah namun kamarnya kotor.
semoga kedepanya makin baik.",0
"tolong kebersihan di tingkakan. kamar masih agak berdebu di pojok. laundry handuk kotor. selimut tipis, banyak nyamuk (meskipun memang musim hujan dan samping rawa).

pelayanan dan fasilitas sudah sedia baik dengan harga murah. sudah ada air panas dan Snack.

hanya kebersihan di tingkatkan itu sudah cukup",0
Ga dapet snacknya  ,0
Aduuuh pikir2 lagi deh kalau mau nginap disini,0
"Air Panasnya ga ada, sempit, lampunya ada yang mati. breakfast ga ada rasanya. overall kurang puas",0
"Yang paling berkesan adalah ketika tahu bahwa ini penginapannya bukan seperti yang di foto. Terlebih lagi, kunci kamar mandi tidak dapat berfungsi sebagaimana mestinya. Apakah memang sengaja kamar mandi tidak untuk ditutup dan dikunci?
Bagusnya adalah wifi lancar banget.",0
kutunya banyak. acnya mati. aernya jelek. wcnya bau. ,0
"Kamarnya kurang kedap suara, jadi suara dari luar mudah terdengar.",1
Tempat dan kamar bersih. Harga sangat terjangkau,1
kamar 215 nya serem bgt ,0
perlu ditambah pewangi ruangan,0
"orangnya sangat tidak friendly,tidak senyum sama sekali.agak risih sih. ak dri chek in udah batin banget sm pelayanannya ",0
"sunyi, kmr bau pengap",0
"Parkir ribet,tamu yang ingin berkunjung saja dibuat peraturan seribet itu",0
